País,Categoría,Nombre,Og_Resumida
Argentina,Convocatoria,Convocatoria para proyectos MUTEK Argentina 2025,"La Convocatoria para proyectos MUTEK Argentina 2025 está dirigida a artistas, colectivos y creadores vinculados a la creatividad digital y la música electrónica, incluyendo disciplinas como performances audiovisuales, instalaciones interactivas, experiencias XR y proyectos experimentales con componentes tecnológicos; pueden postular personas de Argentina y de otros países latinoamericanos. No se menciona el cobro de ningún pago o arancel de inscripción para participar. La información disponible no especifica un monto económico destinado a los artistas seleccionados o ganadores."
Ecuador,Convocatoria,Convocatoria abierta Proyectos curatoriales,"Dirigida a curadores/as e investigadores/as con proyectos expositivos que incluyan al menos dos artistas, la Convocatoria abierta Proyectos curatoriales de Q Galería seleccionará tres propuestas para integrar su agenda expositiva 2026-2027; está destinada exclusivamente a personas ecuatorianas o extranjeras residentes en Ecuador, por lo que no está abierta a artistas que residan en otros países de Latinoamérica. No se menciona ningún pago de inscripción para participar. Las disciplinas artísticas involucradas son artes visuales contemporáneas, especialmente aquellas vinculadas a género, ecologías, territorio, archivo, identidad y migración. No se especifica ningún monto de dinero destinado a los proyectos seleccionados ni honorarios para curadores o artistas; la información disponible no detalla apoyos económicos, producción ni estipendios asociados."
México,Beca,AMEXCID ofrece becas en México para estudiantes extranjeros,"Dirigida a estudiantes extranjeros interesados en realizar estudios de licenciatura, maestría, doctorado e investigaciones de posgrado en México, la convocatoria de la AMEXCID ofrece becas que cubren disciplinas académicas y artísticas, incluyendo artes visuales, música, teatro, cine y literatura; la oportunidad está abierta para postulantes de América Latina y el Caribe, entre otras regiones. No se requiere pago de inscripción para participar. Los beneficios incluyen estipendios mensuales (el monto varía según el nivel de estudios, por ejemplo, aproximadamente $12,614 MXN para maestría y $15,768 MXN para doctorado), inscripción y colegiatura en la institución receptora, seguro médico, apoyo para transporte internacional y nacional, y exención de costos de visado."
España,Premio,Premio Nadal de Novela abre su convocatoria 2026,"Dirigido a escritores mayores de edad de cualquier nacionalidad que presenten una novela original, inédita y escrita en castellano, el Premio Nadal de Novela abre su convocatoria 2026 sin requerir pago de inscripción; la disciplina involucrada es exclusivamente la novela literaria, y la obra ganadora recibirá 30.000 euros como anticipo por la cesión de derechos de edición, con publicación en España y Latinoamérica; pueden participar autores de Latinoamérica siempre que cumplan con los requisitos formales de la convocatoria."
España,Convocatoria,CORTÓPOLIS Festival Latinoamericano de Cortometrajes 2025,"Dirigida a realizadores y realizadoras latinoamericanos mayores de edad, la convocatoria del CORTÓPOLIS Festival Latinoamericano de Cortometrajes 2025 acepta cortometrajes de todos los géneros y estilos, incluyendo ficción, documental, animación y experimental; no se menciona ningún pago de inscripción para participar ni se detallan montos de premios económicos para los seleccionados o ganadores en la información disponible. La oportunidad está abierta exclusivamente a artistas de Latinoamérica, y los trabajos podrán presentarse entre el 26 de julio y el 26 de agosto de 2025 a través de la plataforma indicada por el festival. Falta información específica sobre premios en dinero y otros beneficios para los participantes."
China,Premio,Better Design Award (BDA) 2025 concurso internacional de diseño,"Dirigida a empresas, agencias de diseño, diseñadores, universidades, individuos o equipos de cualquier país o región del mundo, incluido Latinoamérica; la convocatoria Better Design Award (BDA) 2025 es un concurso internacional enfocado en diseño de producto, diseño para la industria y, como novedad este año, una categoría especial en IA y robótica. La participación no requiere pago de inscripción. El monto total en premios es de RMB 4,2 millones (aproximadamente 510.000 euros), distribuidos en más de 300 premios en efectivo para los ganadores; los premios están sujetos a impuestos conforme a la ley china. Pueden postularse tanto productos existentes como conceptos originales, y la convocatoria está abierta hasta el 15 de agosto de 2025."
España,Convocatoria,INAMU Fomento: convocatoria para participar en los showcases de Monkey Week,"Dirigida a músicos argentinos o residentes en Argentina, solistas o agrupaciones, que trabajen en los géneros rock, indie rock, indie pop y urbano, la convocatoria INAMU Fomento para participar en los showcases de Monkey Week (Cádiz, España) seleccionará dos proyectos para presentarse en el evento del 20 al 22 de noviembre de 2025; es requisito estar inscripto en el Registro Único de Artistas Musicales del INAMU y contar con pasaporte y seguro de viaje vigente, no se requiere pago de inscripción, y cada proyecto seleccionado recibirá un caché de €400 y una noche de alojamiento, sin cobertura de pasajes ni gastos adicionales; la oportunidad no está abierta a artistas de otros países de Latinoamérica fuera de Argentina, ya que sólo pueden postular argentinos o residentes en Argentina."
México,Convocatoria,GuadaLAjara Film Festival abre convocatoria para Work In Progress (WIP Latino),"La convocatoria GuadaLAjara Film Festival abre convocatoria para Work In Progress (WIP Latino) está dirigida a cineastas latinxs, latinoamericanos y BIPOC con largometrajes de ficción o documental en etapa de montaje o postproducción que requieran al menos dos procesos de postproducción para su finalización; no pueden participar películas que solo necesiten distribución ni proyectos de estudiantes a tiempo completo. La inscripción es gratuita y se realiza de forma electrónica entre el 18 de junio y el 20 de agosto de 2025. Los proyectos seleccionados podrán acceder a apoyos en servicios profesionales de postproducción (como corrección de color, sonido y distribución) y un premio en efectivo otorgado por la University of Guadalajara Foundation USA, aunque el monto exacto será anunciado antes del festival. La oportunidad está abierta para artistas de Latinoamérica y la diáspora, y no cubre gastos de viaje ni alimentación de los participantes."
EEUU,Convocatoria,City of Napa: Napa Lighted Art Festival 2026 (USA),"Convocatoria internacional dirigida a artistas y colectivos de cualquier país, incluidos latinoamericanos, para presentar instalaciones donde la luz sea el elemento central, abarcando disciplinas como escultura lumínica, arte de luz, videoarte, proyecciones 3D, LED, fibra óptica, gobos personalizados, obras interactivas y láser. La oportunidad corresponde al City of Napa: Napa Lighted Art Festival 2026 (Estados Unidos), que se celebrará del 17 de enero al 15 de febrero de 2026; se seleccionarán aproximadamente 10 propuestas, cada una con un estipendio entre 2,000 y 10,000 USD. No se requiere pago de inscripción para participar."
Italia,Convocatoria,Vivo Center: Res.Art Call for Young Contemporary Dance Choreographers 2025/26 (Italy),"Dirigida a jóvenes coreógrafos de danza contemporánea de entre 18 y 36 años, la convocatoria Vivo Center: Res.Art Call for Young Contemporary Dance Choreographers 2025/26 en Roma seleccionará seis artistas para residencias coreográficas de 10 días, donde crearán piezas con bailarines profesionales de la compañía VIVO FLYOUT; cada coreógrafo recibirá un pago de 600 euros que cubre viaje y alojamiento, y no se menciona ningún costo de inscripción para participar; la convocatoria está abierta a creadores internacionales, sin exclusión explícita para artistas de Latinoamérica, siempre que cumplan con la experiencia requerida (al menos una obra estrenada o publicada entre 2019 y 2023) y el rango de edad."
Múltiples Países,Residencia,"Inland: Pastoral Twilight Residency Programme 2026 (Spain, Czech Republic)","Dirigida a artistas, productores culturales e investigadores de cualquier nacionalidad interesados en prácticas vinculadas a lo rural y la vida en el campo, la residencia Inland: Pastoral Twilight Residency Programme 2026 (España, República Checa) cubre estipendio mensual, alojamiento y gastos de viaje para los seleccionados; no se menciona ningún pago de inscripción para participar. La oportunidad está abierta a diversas disciplinas artísticas y de investigación vinculadas al trabajo en el territorio, y se valoran especialmente perfiles con experiencia en entornos rurales; no hay restricción geográfica, por lo que pueden postular artistas latinoamericanos."
Uzbekistán,Oportunidad,ICCROM/NRICH: CollAsia 2025 Course on Sustainable Conservation of Heritage Collections (Uzbekistan),"Dirigida a profesionales que trabajan con colecciones patrimoniales (conservadores, gestores, restauradores, etc.) de cualquier nacionalidad, la ICCROM/NRICH: CollAsia 2025 Course on Sustainable Conservation of Heritage Collections (Uzbekistan) es un curso presencial y práctico que se desarrollará del 27 de octubre al 14 de noviembre de 2025 en museos de Uzbekistán, enfocado en la observación, documentación y diagnóstico de colecciones, promoviendo el pensamiento crítico y la colaboración interdisciplinar; no se especifica un pago de inscripción ni montos de apoyo económico para participantes, y la oportunidad está abierta a postulantes de todo el mundo, incluyendo América Latina, pero no se detallan ayudas financieras ni restricciones regionales en la información actualmente disponible."
Eslovenia,Oportunidad,"Inspiration Forum LAB: ‘Trajectories’ (Czech Republic, Slovenia, Slovakia, Online)","Inspiration Forum LAB: ‘Trajectories’ está dirigida a artistas y científicos de cualquier nacionalidad interesados en la colaboración interdisciplinaria para desarrollar proyectos multimedia de investigación en torno a movimientos y trayectorias ambientales, sociales y tecnológicas; no se especifica restricción geográfica, por lo que pueden postular artistas de Latinoamérica. La convocatoria no requiere pago de inscripción. El programa se centra en la investigación y colaboración, por lo que no se indica un monto económico estipulado para los participantes ni premios en efectivo; tampoco se mencionan ayudas específicas para gastos de viaje, producción o manutención. Las disciplinas involucradas son amplias e incluyen cualquier práctica artística y científica relacionada con los ejes temáticos propuestos."
Croacia,Residencia,Prostor: Curator-in-Residence Programme 2026 (Croatia),"Dirigida a curadores emergentes y de media carrera que sean residentes legales de países participantes en el programa Creative Europe (excluyendo Croacia), la residencia Prostor: Curator-in-Residence Programme 2026 en Split, Croacia, se desarrollará del 20 de agosto al 17 de septiembre de 2026. La convocatoria no requiere pago de inscripción y cubre hasta 300 EUR en gastos de viaje, alojamiento en el espacio de residencia, uso de estudio y coworking, un estipendio de 900 EUR para manutención y un presupuesto de producción de 1.000 EUR destinado a la exposición que organizará el curador invitado. La oportunidad está centrada en la curaduría contemporánea, con la posibilidad de invitar hasta cinco artistas a participar en la muestra resultante. No está abierta a artistas ni curadores de Latinoamérica, salvo que residan legalmente en un país de Creative Europe."
Reino Unido,Convocatoria,The ING Discerning Eye 2025,"La convocatoria The ING Discerning Eye 2025 está dirigida exclusivamente a artistas residentes en el Reino Unido, quienes pueden presentar obras de pequeño formato (máximo 50 cm en cualquier dimensión) en cualquier disciplina artística, incluyendo pintura, dibujo, escultura, grabado, fotografía, textil y medios mixtos. Todas las obras deben estar a la venta y serán seleccionadas por seis figuras destacadas del mundo del arte para ser exhibidas en la Mall Galleries de Londres. El certamen otorga un fondo total de premios de £13,000 a repartir entre los artistas seleccionados; los premios en ediciones anteriores incluyeron un primer premio de £5,000, otros premios principales de £2,500 y £1,000, así como premios menores de entre £200 y £1,500. La oportunidad no está abierta a artistas de Latinoamérica, ya que solo pueden participar quienes residan en el Reino Unido. No se especifica en la información disponible si existe un costo de inscripción para participar."
España,Convocatoria,Convocatoria Abierta: Residencias Artísticas Barce...,"Convocatoria dirigida a artistas de todo el mundo, sin restricción de edad ni nacionalidad, interesados en participar con obras de grabado realizadas mediante procesos de estampación tradicional; pueden presentarse hasta tres obras inéditas por artista. Es requisito abonar una cuota de inscripción (el monto específico no está detallado en las bases consultadas), y enviar las obras por correo postal certificado. Los premios consisten en una residencia artística de un mes en el taller de La Maldita Estampa para el primer premio (incluye uso de equipo, materiales y asesoría técnica, pero no alojamiento ni transporte), una residencia de dos semanas para el segundo premio bajo las mismas condiciones, y materiales de arte valorados en 300 euros para el tercer premio. La convocatoria está abierta a artistas latinoamericanos y de cualquier otra procedencia, siempre que cumplan con los requisitos técnicos y de envío."
Argentina,Premio,Premio Prilidiano Pueyrredón 2025,"Dirigido exclusivamente a estudiantes regulares de grado hasta el año 2024 y graduados/as entre 2020 y 2024 del Departamento de Artes Visuales “Prilidiano Pueyrredón” de la Universidad Nacional de las Artes, el Premio Prilidiano Pueyrredón 2025 busca promover y jerarquizar la producción artística en el campo de las artes visuales; no requiere pago de inscripción para participar. La convocatoria abarca únicamente disciplinas de artes visuales y otorga diplomas como único reconocimiento a los ganadores de las categorías estudiantes y graduados/as, sin estipulación de premios en dinero ni apoyo económico; la oportunidad no está abierta a artistas de Latinoamérica en general, sino restringida a quienes cumplan los requisitos académicos de la institución convocante."
Corea,Convocatoria,CICA Museum: Art in Action New York 2025,"Dirigida a artistas, performers, diseñadores y profesionales de campos creativos de cualquier nacionalidad, incluidos latinoamericanos, interesados en participar en el evento Art in Action New York 2025 organizado por CICA Museum; la convocatoria abarca disciplinas como artes visuales, performance, diseño y proyectos creativos experimentales. El evento es de un día, se realiza en Brooklyn, Nueva York, el 20 de diciembre de 2025, y cada seleccionado dispondrá de 20 minutos para presentar su obra en formato de charla, performance, presentación o taller, además de un espacio tipo booth para exhibir y vender obras, publicaciones u objetos de diseño. No se menciona ningún monto de dinero asignado a los artistas seleccionados ni se indica pago de inscripción para participar; tampoco se ofrece apoyo económico para viaje o producción. La oportunidad está abierta internacionalmente y contempla la posibilidad de que los participantes expongan también en una muestra grupal en el CICA Museum de Corea en diciembre de 2025, pero no se especifican beneficios económicos directos para los artistas."
Corea,Convocatoria,Abstract Mind 2026: the 11th International Exhibit...,"Dirigida a artistas de cualquier nacionalidad, incluyendo latinoamericanos, Abstract Mind 2026: the 11th International Exhibition on Abstract Art del CICA Museum convoca obras en pintura, dibujo, grabado, escultura, instalación, fotografía, arte digital 2D, video y arte interactivo que exploren la abstracción y conceptos abstractos; la participación no contempla un pago de inscripción, pero los artistas seleccionados deben asumir los gastos de envío y devolución de obras físicas, así como posibles costos adicionales si requieren impresión o montaje especial para obras digitales o mayores dimensiones; no se especifica monto de premio o remuneración para los artistas participantes ni compensación económica por exhibición, y la convocatoria está abierta hasta el 22 de agosto de 2025 con la muestra prevista del 15 de abril al 3 de mayo de 2026."
Corea del Sur,Convocatoria,Call For Artists: Cica Experimental Film And Video 2026,"El Museo CICA invita a cineastas y artistas experimentales de todo el mundo a participar en la Exposición de Cine y Video Experimental CICA 2026. Se aceptan películas experimentales, videoarte y animaciones monocanal. Proporcionaremos proyectores y reproductores de DVD/DIVX para la muestra. Se proyectarán varias obras monocanal a través de un proyector. Si la obra requiere proyectarse exclusivamente a través de un proyector, o si se necesitan más de dos proyectores/monitores, indique los requisitos especiales en el correo electrónico de inscripción. Pueden aplicarse cargos adicionales."
EEUU,Convocatoria,Chicago Sculpture International 2025 Biennale,"Materialidad en la Escultura: Un Diálogo entre la Sustancia y la Forma. Esta exposición explora la interacción de los materiales en el ámbito de la escultura, presentando obras que desafían, celebran y redefinen nuestra comprensión de la sustancia material. Para conectar su obra con este tema, considere cómo su elección de medio y temática puede reflejar simultáneamente los aspectos físicos y conceptuales. Los formatos incluyen: mural, interactiva, instalación y video. Se aceptan interpretaciones abiertas del tema de la exposición."
Reino Unido,Beca,Eamonn Mccabe Bursary,"In recognition of the significant legacy and widely-held respect across photography for Eamonn McCabe, the RPS, in partnership with Eamonn McCabe's family and The Guardian , has launched the Eamonn McCabe bursary.

This new International bursary launched in 2024 commemorates the life of photojournalist Eamonn McCabe (1948-2022). McCabe made his name as a sports photographer before moving to wider editorial work, mainly working for The Observer and The Guardian newspapers. He was widely respected and supported a generation of photographers from the 1980s to the 2020s. Through his own photography, books and broadcasting, he did much to raise awareness of photography’s history and significance to a wider public. He was Fellow of the RPS. This bursary looks to continue that legacy. It is supported by Eamonn McCabe’s family and The Guardian newspaper.

As well as professional sports we particularly encourage projects covering grassroots and community activities. These could be addressing issues such as mental health, or supporting displaced communities etc. We will also welcome creative interpretations on the theme.

Applicants should be aged 30 years or under on the closing date. Interviews via Zoom will take place in September and we would expect to announce the recipient by the end of September. The project should be completed within one year of it being awarded."
EEUU,Residencia,2026 Fall Artist-In-Residence,"Desde 1981, el Centro Bemis ha brindado a artistas de todo el mundo tiempo, espacio y recursos dedicados para realizar investigaciones y crear nuevas obras. Ubicado en el histórico Old Market, el distrito artístico y cultural de Omaha, las instalaciones del Centro Bemis, de 110,000 pies cuadrados, albergan una amplia gama de actividades artísticas. Algunos artistas residentes disfrutan de amplios estudios privados, con cocina y baño, un estipendio mensual de $1,250 USD y un estipendio de viaje de $750. Debido a las limitaciones de las visas B2 (de gira o visita), los artistas residentes internacionales no pueden recibir el estipendio directamente, pero sí pueden recibir un reembolso de hasta el monto total del estipendio para gastos calificados, como boletos de avión, transporte terrestre y comidas. Los artistas residentes son responsables de organizar su viaje a Omaha para asistir a la residencia. Los artistas residentes tienen acceso las 24 horas a amplios espacios de instalación y producción, así como al Centro de Escultura y Cerámica Okada, un espacio industrial de 840 metros cuadrados destinado a la fabricación de esculturas a gran escala; además, cuentan con un Estudio de Sonido para ensayos y grabaciones. Esta residencia, impulsada por la idea investigación independiente, se desarrolla en un entorno comunitario, fomentando el crecimiento creativo, la experimentación y el intercambio solidario. No se espera que los residentes creen, ni se les promete una exposición en nuestras galerías de la primera planta."
EEUU,Beca,2025/2026 Creative Arts Grant Program,"Dirigida a artistas de todas las disciplinas creativas, el 2025/2026 Creative Arts Grant Program ofrece financiamiento a artistas individuales sin requerir pago de inscripción para participar; la convocatoria está abierta internacionalmente, lo que incluye a artistas de Latinoamérica. El programa otorga un monto total de $10,000 USD distribuidos entre los seleccionados, quienes pueden presentar proyectos en cualquier área de las artes visuales, escénicas, literarias o interdisciplinarias. No se especifican restricciones geográficas ni disciplinares, y la participación es gratuita, asegurando así la accesibilidad para creadores de diversas regiones."
Japón,Residencia,YUI–PORT Artist Residency 2026 - Open Call,"Residencia artística financiada en Niigata, Japón, para artistas internacionales, con alojamiento, espacio de estudio, apoyo económico y oportunidades de intercambio comunitario. La residencia se realiza entre abril y junio de 2026, permitiendo hasta 90 días de estancia en un entorno creativo junto al mar. Se ofrece asistencia técnica, apoyo a la producción y un estipendio diario."
Alemania,Residencia,PILLARS OF FACADE Phase 2 – Sculpting Residency,"Residencia internacional dirigida a escultores o equipos pequeños para crear esculturas innovadoras con ladrillo y concreto, reutilizando núcleos extraídos de la fachada histórica del Pfaelzer Hof en Alemania. Las obras finales se instalarán permanentemente en el espacio público del edificio, celebrando la resiliencia arquitectónica. La residencia ofrece alojamiento compartido, espacios de trabajo, apoyo curatorial, materiales, difusión mediática y una presentación pública de las obras."
Alemania,Convocatoria,Kunstwerkt - “Eat This” Group Exhibition,"Convocatoria para una exposición colectiva sin proceso de selección, organizada por Kunstwerkt y CC De Schakel (Waregem, Bélgica), dirigida a artistas visuales con obras sobre la temática de la comida. Se aceptan trabajos nuevos o existentes en formato 20 x 20 cm, y todas las obras presentadas se exhibirán si se entregan a tiempo. La exposición se realizará del 19 de septiembre al 12 de octubre de 2025."
EEUU,Beca,Henry L. and Natalie E. Freund Teaching Fellowship,"La Henry L. and Natalie E. Freund Teaching Fellowship es una beca dirigida a artistas visuales emergentes y de media carrera, que ofrece un premio de $45,000, residencia docente en la Sam Fox School y una exposición individual en el Saint Louis Art Museum. Los seleccionados enseñan un curso, realizan visitas de estudio con estudiantes y desarrollan obra para una exposición en la serie 'Currents'."
Japón,Convocatoria,Open Call #10: Eroding Forms,"Convocatoria internacional para fotógrafos que exploren temas de impermanencia, vulnerabilidad material y ciclos ecológicos mediante procesos analógicos, alternativos, sostenibles o experimentales. Las obras seleccionadas serán publicadas en una edición impresa y podrán ser presentadas en Ephemere Photo Fest, Tokio, con difusión global. Se excluyen imágenes generadas o alteradas digitalmente y hay un costo de postulación."
Islandia,Residencia,Open Call: SÍM Residency 2026,"Residencia artística internacional autofinanciada de 3 meses en Korpúlfsstaðir, Reikiavik, Islandia, dirigida a artistas e investigadores de todo el mundo. Incluye habitación privada, espacio de trabajo compartido, exposición física de 2 semanas y extensión virtual de 3 meses, con enfoque temático en sostenibilidad, ecología y cultura islandesa. No hay cuota de postulación y se apoya la accesibilidad mediante becas externas."
Uruguay,Convocatoria,Open Call 2025 Programa de Residencias Artísticas Solanas Art Experience,"Convocatoria anual dirigida a 8 artistas latinoamericanos interesados en los vínculos entre arte, arquitectura y naturaleza. El programa ofrece residencias artísticas en Punta del Este, Uruguay, bajo la organización de Fundación Solanas. Las aplicaciones requieren cartas de recomendación y el cumplimiento de un formato específico."
Francia,Residencia,Camargo Foundation Core Fellowship Program 2025-2026,"Desde 1971, la Fundación Camargo ha otorgado becas de residencia a más de 1500 personas a través de su programa insignia.Parte de su misión es apoyar la investigación, la experimentación y los enfoques interdisciplinarios innovadores en las artes y las humanidades. Cada año, un jurado compuesto por investigadores y profesionales de las artes selecciona a personas o equipos entre cientos de solicitudes de todo el mundo. Los becarios disfrutan de una residencia de 10 semanas en un entorno espléndido y contemplativo donde tienen el espacio, el tiempo y la libertad para pensar, crear e intercambiar ideas. Para la edición 2025-2026, se seleccionarán 14 candidatos. La Fundación Camargo se esfuerza, con cada cohorte de becarios, por fomentar la conexión entre la investigación y la creación."
EEUU,Residencia,Villa Barr Art Park Artist In Residency 2026,"La convocatoria Villa Barr Art Park Artist In Residency 2026 está dirigida a artistas visuales profesionales de cualquier nacionalidad y trayectoria, sin restricción explícita por país, lo que permite la postulación de artistas de Latinoamérica. La residencia tiene una duración de dos meses e incluye alojamiento, estudio y un estipendio total de $5,000 USD para cada artista seleccionado, destinado a cubrir gastos personales y de producción. No se requiere pago de inscripción para participar en la convocatoria. Las disciplinas admitidas abarcan las artes visuales en sentido amplio, incluyendo pintura, escultura, instalación, fotografía, arte digital y medios mixtos."
Virtual,Convocatoria,Plastic Visions,"Plastic Visions está dirigida a artistas visuales de todo el mundo, sin restricción geográfica, incluyendo artistas de Latinoamérica, mayores de 18 años y trabajando en disciplinas como fotografía, arte digital, pintura, escultura, instalación y medios mixtos; no se requiere pago de inscripción para participar. La convocatoria seleccionará a 20 artistas para una exposición virtual y otorgará un premio de 300 USD al artista ganador; no se mencionan otros apoyos económicos ni reembolsos de gastos. La aplicación se realiza en línea, requiere envío de portafolio y descripción de obra, y no hay indicaciones de costos ocultos ni restricciones por nacionalidad."
