Resumen generado por la IA,Oportunidades relacionadas,Nombre,Destinatarios,URL,País,Fecha de cierre,Publicar,Entidad,Inscripcion,Obtener Base URL,Obtener BASE URL?,Og_Resumida,Obtener Disciplinas,Base URL,Categoría,Disciplina,Created time,Estado de la oportunidad,AI keywords,Top,Obtener Disciplina,Instituciones,Tutorial,URL Tutorial,Texto Tutorial,Monto_Extraido_LLM,Moneda_Extraida_LLM
Convocatoria︱MUTEK Argentina 2025,,Convocatoria para proyectos MUTEK Argentina 2025,Revisar,https://hipermedula.org/2025/08/convocatoria-para-proyectos-mutek-argentina-2025/,Argentina,"August 15, 2025",Yes,MUTEK,,,No,"La Convocatoria para proyectos MUTEK Argentina 2025 está dirigida a artistas, colectivos y creadores vinculados a la creatividad digital y la música electrónica, incluyendo disciplinas como performances audiovisuales, instalaciones interactivas, experiencias XR y proyectos experimentales con componentes tecnológicos; pueden postular personas de Argentina y de otros países latinoamericanos. No se menciona el cobro de ningún pago o arancel de inscripción para participar. La información disponible no especifica un monto económico destinado a los artistas seleccionados o ganadores.",,https://buenos-aires.mutek.org/es/noticias/convocatoria-para-proyectos-mutek-argentina-2025,Convocatoria,"Música, Multidisciplinar, ArteTecnología","August 2, 2025 10:27 PM",,,No,No,,No,,,,
Convocatoria︱Proyectos curatoriales,"Open Call for Curatorial Proposals (https://www.notion.so/Open-Call-for-Curatorial-Proposals-2219dd874b3a81b7b71dd58f8c82ddf5?pvs=21), Curadora, residencia de artistas en Santa Fe, Argentina (https://www.notion.so/Curadora-residencia-de-artistas-en-Santa-Fe-Argentina-2329dd874b3a811ba17cf0cca725c33d?pvs=21)",Convocatoria abierta Proyectos curatoriales,Revisar,https://hipermedula.org/2025/07/convocatoria-abierta-proyectos-curatoriales/,Ecuador,"August 10, 2025",Yes,Q Galería,,,No,"Dirigida a curadores/as e investigadores/as con proyectos expositivos que incluyan al menos dos artistas, la Convocatoria abierta Proyectos curatoriales de Q Galería seleccionará tres propuestas para integrar su agenda expositiva 2026-2027; está destinada exclusivamente a personas ecuatorianas o extranjeras residentes en Ecuador, por lo que no está abierta a artistas que residan en otros países de Latinoamérica. No se menciona ningún pago de inscripción para participar. Las disciplinas artísticas involucradas son artes visuales contemporáneas, especialmente aquellas vinculadas a género, ecologías, territorio, archivo, identidad y migración. No se especifica ningún monto de dinero destinado a los proyectos seleccionados ni honorarios para curadores o artistas; la información disponible no detalla apoyos económicos, producción ni estipendios asociados.",,https://hipermedula.org/2025/07/convocatoria-abierta-proyectos-curatoriales/,Convocatoria,"Otras, Curaduría, Género","August 2, 2025 10:27 PM",,,No,No,,No,,,,
Beca︱AMEXCID,Becas de circulación nacional e internacional (https://www.notion.so/Becas-de-circulaci-n-nacional-e-internacional-2079dd874b3a81fd9fa6fa89ebfd77a6?pvs=21),AMEXCID ofrece becas en México para estudiantes extranjeros,Revisar,https://www.recursosculturales.com/becas-en-mexico-gobierno-extranjeros/,México,"September 12, 2025",Yes,AMEXCID,,,No,"Dirigida a estudiantes extranjeros interesados en realizar estudios de licenciatura, maestría, doctorado e investigaciones de posgrado en México, la convocatoria de la AMEXCID ofrece becas que cubren disciplinas académicas y artísticas, incluyendo artes visuales, música, teatro, cine y literatura; la oportunidad está abierta para postulantes de América Latina y el Caribe, entre otras regiones. No se requiere pago de inscripción para participar. Los beneficios incluyen estipendios mensuales (el monto varía según el nivel de estudios, por ejemplo, aproximadamente $12,614 MXN para maestría y $15,768 MXN para doctorado), inscripción y colegiatura en la institución receptora, seguro médico, apoyo para transporte internacional y nacional, y exención de costos de visado.",,https://www.pronabec.gob.pe/beca-mexico-amexcid/,Beca,"Otras, Formación, Artes","August 2, 2025 10:28 PM",,,No,No,,No,,,,
Premio︱Nadal,"Premio La Mistral Nouvelle - Narrativa 2026 (https://www.notion.so/Premio-La-Mistral-Nouvelle-Narrativa-2026-23c9dd874b3a81a58287c71e32b71047?pvs=21), Premio | Premio Literario “Ciutat D’Onda” de Novela 2025 (https://www.notion.so/Premio-Premio-Literario-Ciutat-D-Onda-de-Novela-2025-20f9dd874b3a818e9e9bcf77412bd403?pvs=21)",Premio Nadal de Novela abre su convocatoria 2026,Revisar,https://www.recursosculturales.com/premio-nadal-de-novela/,España,"September 30, 2025",Yes,Premio Nadal de Novela,,,No,"Dirigido a escritores mayores de edad de cualquier nacionalidad que presenten una novela original, inédita y escrita en castellano, el Premio Nadal de Novela abre su convocatoria 2026 sin requerir pago de inscripción; la disciplina involucrada es exclusivamente la novela literaria, y la obra ganadora recibirá 30.000 euros como anticipo por la cesión de derechos de edición, con publicación en España y Latinoamérica; pueden participar autores de Latinoamérica siempre que cumplan con los requisitos formales de la convocatoria.",,https://premios.planetadelibros.com/es-ES/candidatura/?id=premio-nadal-2026,Premio,"Literatura, Novela","August 2, 2025 10:28 PM",,,No,No,,No,,,,
Convocatoria︱CORTÓPOLIS Festival Latinoamericano Cortometrajes,Convocatoria | Festival Internacional de Cine Fantástico de Castilla y León Terroríficamente Cortos (https://www.notion.so/Convocatoria-Festival-Internacional-de-Cine-Fant-stico-de-Castilla-y-Le-n-Terror-ficamente-Cortos-1d49dd874b3a81c1ba0bc6b7f84a93a3?pvs=21),CORTÓPOLIS Festival Latinoamericano de Cortometrajes 2025,Revisar,https://www.recursosculturales.com/festival-latinoamericano-de-cortometrajes-cortopolis/,España,"August 26, 2025",Yes,Cortópolis,,,No,"Dirigida a realizadores y realizadoras latinoamericanos mayores de edad, la convocatoria del CORTÓPOLIS Festival Latinoamericano de Cortometrajes 2025 acepta cortometrajes de todos los géneros y estilos, incluyendo ficción, documental, animación y experimental; no se menciona ningún pago de inscripción para participar ni se detallan montos de premios económicos para los seleccionados o ganadores en la información disponible. La oportunidad está abierta exclusivamente a artistas de Latinoamérica, y los trabajos podrán presentarse entre el 26 de julio y el 26 de agosto de 2025 a través de la plataforma indicada por el festival. Falta información específica sobre premios en dinero y otros beneficios para los participantes.",,https://cortopolis.com.ar/convocatoria-2024,Convocatoria,Cine,"August 2, 2025 10:29 PM",,,No,No,,No,,,,
Concurso︱Better Design Award 2025,Premio | Concurso Internacional de Ilustración BOit! - 4ª Edición: Agua y Ciudad (https://www.notion.so/Premio-Concurso-Internacional-de-Ilustraci-n-BOit-4-Edici-n-Agua-y-Ciudad-2289dd874b3a8101838cec296d85bbeb?pvs=21),Better Design Award (BDA) 2025 concurso internacional de diseño,Revisar,https://www.recursosculturales.com/better-design-award/,China,"August 15, 2025",Yes,Better Design Award,,,No,"Dirigida a empresas, agencias de diseño, diseñadores, universidades, individuos o equipos de cualquier país o región del mundo, incluido Latinoamérica; la convocatoria Better Design Award (BDA) 2025 es un concurso internacional enfocado en diseño de producto, diseño para la industria y, como novedad este año, una categoría especial en IA y robótica. La participación no requiere pago de inscripción. El monto total en premios es de RMB 4,2 millones (aproximadamente 510.000 euros), distribuidos en más de 300 premios en efectivo para los ganadores; los premios están sujetos a impuestos conforme a la ley china. Pueden postularse tanto productos existentes como conceptos originales, y la convocatoria está abierta hasta el 15 de agosto de 2025.",,https://bda.desall.com,Premio,"Diseño, Producto, IA","August 2, 2025 10:29 PM",,,No,No,,No,,,,
Convocatoria︱Monkey Week,,INAMU Fomento: convocatoria para participar en los showcases de Monkey Week,Revisar,https://www.recursosculturales.com/inamu-fomento-internacional/,España,"August 3, 2025",Yes,INAMU,,,No,"Dirigida a músicos argentinos o residentes en Argentina, solistas o agrupaciones, que trabajen en los géneros rock, indie rock, indie pop y urbano, la convocatoria INAMU Fomento para participar en los showcases de Monkey Week (Cádiz, España) seleccionará dos proyectos para presentarse en el evento del 20 al 22 de noviembre de 2025; es requisito estar inscripto en el Registro Único de Artistas Musicales del INAMU y contar con pasaporte y seguro de viaje vigente, no se requiere pago de inscripción, y cada proyecto seleccionado recibirá un caché de €400 y una noche de alojamiento, sin cobertura de pasajes ni gastos adicionales; la oportunidad no está abierta a artistas de otros países de Latinoamérica fuera de Argentina, ya que sólo pueden postular argentinos o residentes en Argentina.",,https://inamu.musica.ar/monkey-week-2025,Convocatoria,"Música, Rock, Indie","August 2, 2025 10:29 PM",,,No,No,,No,,,,
Convocatoria︱GuadaLAjara Film Festival WIP Latino,,GuadaLAjara Film Festival abre convocatoria para Work In Progress (WIP Latino),Revisar,https://www.recursosculturales.com/guadalajara-film-festival-wip-latino/,México,"August 20, 2025",Yes,Guadalajara Film Festival,,,No,"La convocatoria GuadaLAjara Film Festival abre convocatoria para Work In Progress (WIP Latino) está dirigida a cineastas latinxs, latinoamericanos y BIPOC con largometrajes de ficción o documental en etapa de montaje o postproducción que requieran al menos dos procesos de postproducción para su finalización; no pueden participar películas que solo necesiten distribución ni proyectos de estudiantes a tiempo completo. La inscripción es gratuita y se realiza de forma electrónica entre el 18 de junio y el 20 de agosto de 2025. Los proyectos seleccionados podrán acceder a apoyos en servicios profesionales de postproducción (como corrección de color, sonido y distribución) y un premio en efectivo otorgado por la University of Guadalajara Foundation USA, aunque el monto exacto será anunciado antes del festival. La oportunidad está abierta para artistas de Latinoamérica y la diáspora, y no cubre gastos de viaje ni alimentación de los participantes.",,https://www.glaff.org/wiplatino10-eng,Convocatoria,Cine,"August 2, 2025 10:29 PM",,,No,No,,No,,,,
Convocatoria︱Napa Lighted Art Festival,,City of Napa: Napa Lighted Art Festival 2026 (USA),Revisar,https://on-the-move.org/news/city-napa-napa-lighted-art-festival-2026-usa,EEUU,"September 1, 2025",Yes,Napa Lighted Art Festival,,,No,"Convocatoria internacional dirigida a artistas y colectivos de cualquier país, incluidos latinoamericanos, para presentar instalaciones donde la luz sea el elemento central, abarcando disciplinas como escultura lumínica, arte de luz, videoarte, proyecciones 3D, LED, fibra óptica, gobos personalizados, obras interactivas y láser. La oportunidad corresponde al City of Napa: Napa Lighted Art Festival 2026 (Estados Unidos), que se celebrará del 17 de enero al 15 de febrero de 2026; se seleccionarán aproximadamente 10 propuestas, cada una con un estipendio entre 2,000 y 10,000 USD. No se requiere pago de inscripción para participar.",,https://www.cityofnapa.org/689/Napa-Lighted-Art-Festival,Convocatoria,"Visuales, Luz","August 2, 2025 10:35 PM",,,No,No,,No,,,,
Residencia︱Vivo Center Res.Art Call Coreógrafos,"officine CAOS: Differenti Sensazioni 2025/2026 Call for Emerging Performing Artists (Italy) (https://www.notion.so/officine-CAOS-Differenti-Sensazioni-2025-2026-Call-for-Emerging-Performing-Artists-Italy-22f9dd874b3a81d686bfe595afc954c6?pvs=21), Goethe Institut: Programa para jóvenes profesionales del teatro en Alemania (https://www.notion.so/Goethe-Institut-Programa-para-j-venes-profesionales-del-teatro-en-Alemania-2369dd874b3a81c9b668d0b6ad0bae86?pvs=21)",Vivo Center: Res.Art Call for Young Contemporary Dance Choreographers 2025/26 (Italy),Revisar,https://on-the-move.org/news/vivo-center-resart-call-young-contemporary-dance-choreographers-202526-italy,Italia,"August 31, 2025",Yes,Vivo Center,,,No,"Dirigida a jóvenes coreógrafos de danza contemporánea de entre 18 y 36 años, la convocatoria Vivo Center: Res.Art Call for Young Contemporary Dance Choreographers 2025/26 en Roma seleccionará seis artistas para residencias coreográficas de 10 días, donde crearán piezas con bailarines profesionales de la compañía VIVO FLYOUT; cada coreógrafo recibirá un pago de 600 euros que cubre viaje y alojamiento, y no se menciona ningún costo de inscripción para participar; la convocatoria está abierta a creadores internacionales, sin exclusión explícita para artistas de Latinoamérica, siempre que cumplan con la experiencia requerida (al menos una obra estrenada o publicada entre 2019 y 2023) y el rango de edad.",,https://www.vivocenter.it/en/resart1,Convocatoria,"Escénicas, Danza, Coreografía","August 2, 2025 10:35 PM",,,No,No,,No,,,,
Residencia︱Inland Pastoral Twilight,Residencias Joaquim Jordà para cineastas (https://www.notion.so/Residencias-Joaquim-Jord-para-cineastas-2329dd874b3a813cb725f372863f0727?pvs=21),"Inland: Pastoral Twilight Residency Programme 2026 (Spain, Czech Republic)",Revisar,https://on-the-move.org/news/inland-pastoral-twilight-residency-programme-2026-spain-czech-republic,Múltiples Países,"August 29, 2025",Yes,Inland,,,No,"Dirigida a artistas, productores culturales e investigadores de cualquier nacionalidad interesados en prácticas vinculadas a lo rural y la vida en el campo, la residencia Inland: Pastoral Twilight Residency Programme 2026 (España, República Checa) cubre estipendio mensual, alojamiento y gastos de viaje para los seleccionados; no se menciona ningún pago de inscripción para participar. La oportunidad está abierta a diversas disciplinas artísticas y de investigación vinculadas al trabajo en el territorio, y se valoran especialmente perfiles con experiencia en entornos rurales; no hay restricción geográfica, por lo que pueden postular artistas latinoamericanos.",,https://resartis.org/open-call/pastoral-twilight-residency/,Residencia,"Otras, Multidisciplinar, Investigación","August 2, 2025 10:35 PM",,,No,No,,No,,,,
Convocatoria︱ICCROM/NRICH CollAsia 2025 Course,German Federal Cultural Foundation: Initiation Fund for Fair and Sustainable International Partnerships 2025–2026 (https://www.notion.so/German-Federal-Cultural-Foundation-Initiation-Fund-for-Fair-and-Sustainable-International-Partnersh-2219dd874b3a815388c9dac3aae473c4?pvs=21),ICCROM/NRICH: CollAsia 2025 Course on Sustainable Conservation of Heritage Collections (Uzbekistan),Revisar,https://on-the-move.org/news/iccromnrich-collasia-2025-course-sustainable-conservation-heritage-collections-uzbekistan,Uzbekistán,"August 24, 2025",Yes,ICCROM,,,No,"Dirigida a profesionales que trabajan con colecciones patrimoniales (conservadores, gestores, restauradores, etc.) de cualquier nacionalidad, la ICCROM/NRICH: CollAsia 2025 Course on Sustainable Conservation of Heritage Collections (Uzbekistan) es un curso presencial y práctico que se desarrollará del 27 de octubre al 14 de noviembre de 2025 en museos de Uzbekistán, enfocado en la observación, documentación y diagnóstico de colecciones, promoviendo el pensamiento crítico y la colaboración interdisciplinar; no se especifica un pago de inscripción ni montos de apoyo económico para participantes, y la oportunidad está abierta a postulantes de todo el mundo, incluyendo América Latina, pero no se detallan ayudas financieras ni restricciones regionales en la información actualmente disponible.",,https://www.iccrom.org/courses/collasia-2025-observation-documentation-and-diagnosis-collections%C2%A0,Oportunidad,"Otras, Conservación, Patrimonio","August 2, 2025 10:35 PM",,,No,No,,No,,,,
Convocatoria︱Inspiration Forum LAB: ‘Trajectories’,,"Inspiration Forum LAB: ‘Trajectories’ (Czech Republic, Slovenia, Slovakia, Online)",Revisar,https://on-the-move.org/news/inspiration-forum-lab-trajectories-czech-republic-slovenia-slovakia-online,Eslovenia,"August 25, 2025",Yes,Inspiration Forum LAB,,,No,"Inspiration Forum LAB: ‘Trajectories’ está dirigida a artistas y científicos de cualquier nacionalidad interesados en la colaboración interdisciplinaria para desarrollar proyectos multimedia de investigación en torno a movimientos y trayectorias ambientales, sociales y tecnológicas; no se especifica restricción geográfica, por lo que pueden postular artistas de Latinoamérica. La convocatoria no requiere pago de inscripción. El programa se centra en la investigación y colaboración, por lo que no se indica un monto económico estipulado para los participantes ni premios en efectivo; tampoco se mencionan ayudas específicas para gastos de viaje, producción o manutención. Las disciplinas involucradas son amplias e incluyen cualquier práctica artística y científica relacionada con los ejes temáticos propuestos.",,https://on-the-move.org/news/inspiration-forum-lab-trajectories-czech-republic-slovenia-slovakia-online,Oportunidad,"Otras, Investigación","August 2, 2025 10:35 PM",,,No,No,,No,,,,
