Nombre,Resumen generado por la IA,País,Entidad,Og_Resumida,Base URL,Categoría,Disciplina,Disciplina Limpia,Inscripcion,Monto,Moneda,Monto_USD,Premio_USD,Inscripcion_USD_web
Convocatoria | Street Art Festival 2025: Past Perspectives,Convocatoria | Street Art Festival 2025: Past Perspectives,República Checa,Street Art Festival ,"Dirigido a artistas interesados en intervenciones artísticas en espacios públicos. No requiere pago para participar. Disciplina: arte urbano. Abierto a artistas de todo el mundo, incluidas personas de Latinoamérica.",https://streetart-festival.cz/street-art-festival-in-olomouc-announces-open-call/,Convocatoria,"Visuales, Diseño, Street Art ",Diseño,Sin cargo,,,,,
Residencia | Programa de Artista en Residencia 2025,Residencia | Programa de Artista en Residencia 2025,Malta,Dirección de Cultura de Malta,"Convocatoria abierta a artistas de todo el mundo, consagrados y emergentes con un mínimo de dos años de experiencia demostrada en su respectivo campo. La residencia proporciona una plataforma para la exploración, la conexión y la reflexión en todas las disciplinas artísticas. La residencia, de un mes de duración, se realizará entre el 01/07 y el 30/09/2025. El presupuesto asignado cubre un máximo de dos artistas, con un presupuesto máximo de 10.000 € por artista. ",https://direttoratkultura.gov.mt/en/opportunities/,Residencia,Multidisciplinar,Otras,Sin cargo,30000.0,EUR,10800.0,,
Residencia | Bom Dia OASis Residency 2025,Residencia | Bom Dia OASis Residency 2025,Portugal,Cultivamos Cultura - Programa de residencias OASis,"Convocatoria abierta a creadores, artistas, investigadores internacionales de diversos campos y disciplinas, así como a profesionales y expertos que operan en la intersección de la cultura y otras disciplinas. Las solicitudes pueden presentarse individualmente. Los participantes seleccionados deben estar presentes en Cultivamos Cultura para crear, producir e implementar su proyecto dentro del plazo aprobado.",https://cultivamoscultura.com/2025/03/03/bom-dia-residency-open-call/,Residencia,"Multidisciplinar, Investigación, Interdisciplinario ",Otras,Sin cargo,,EUR,,,
Beca | Beca de Residencia Heritage in transformation 2026-27,Beca | Beca de Residencia Heritage in transformation 2026-27,Alemania,Käte Hamburger Kolleg | Centre for Advanced Study: inherit. heritage in transformation,"Dirigido a investigadores, artistas, cineastas y curadores con experiencia relevante en estudios de patrimonio. Las solicitudes deberán centrarse en la lucha contra la pérdida del patrimonio y  estar relacionadas con uno o más de los temas rectores: descentrar Occidente, descentrar lo humano y transformar el valor. Disciplinas: artes visuales, cine y áreas relacionadas al patrimonio. Abierto a postulantes de América Latina y otras regiones subrepresentadas.",https://inherit.hu-berlin.de/open-call,Beca,"Otras, Investigación, Interdisciplinario, Patrimonio Cultural, Cine",Cine,Sin cargo,,EUR,35389.46,,
Residencia | Programa de Artistas en Residencia ACAC 2025,Residencia | Programa de Artistas en Residencia ACAC 2025,Japón,Aomori Contemporary Art Centre,"Dirigido a artistas, curadores e investigadores de todo el mundo. Disciplinas: artes contemporáneas. Los residentes realizarán investigaciones, crearán obras de arte, organizarán diversos eventos y, finalmente, presentarán sus resultados, con el apoyo continuo de los curadores, técnicos y personal del ACAC. Los resultados se presentarán en la sede de este año (del 14 al 29 de noviembre de 2025). El título de este año es ""CAMP"".",https://acac-aomori.jp/public/application-guideline-artist-in-residence-program-2025-camp/,Residencia,"Visuales, Diseño, Otras, Curaduría, Investigación",Diseño,Sin cargo,,JPY,,,
Convocatoria | 17th Edition Prisma Art Priza Rome,Convocatoria | 17th Edition Prisma Art Priza Rome,Italia,Prisma Art Varco SRL,"Dirigida a todos los artistas vivos, sin límite de edad, sexo, nacionalidad ni etnia. Disciplina: pintura, dibujo y grabado de cualquier tamaño y soporte. Requiere pago de inscripción. Las obras finalistas serán exhibidas en la galería online y podrán ganar premios trimestrales. Además, podrían ser elegidas para una exposición anual, un catálogo y premios de residencia o individuales organizados por colaboradores al final de cada trimestre.",https://www.prismaartprize.com/,Convocatoria,"Visuales, Pintura, Dibujo, Grabado",Visuales,Pago,500,EUR,589.82,,
Convocatoria | Exposición Blue Photo,Convocatoria | Exposición Blue Photo,EEUU,Decode Gallery,"Dirigida a todos los fotógrafos del mundo, tanto aficionados como profesionales. Tema El Azul. Requiere pago de inscripción. Disciplina: fotografía. Se seleccionará al menos 26 imágenes para su exhibición. La galería se encarga de la impresión gratuita de los fotógrafos aceptados.",https://decodegallery.com/blue,Convocatoria,"Visuales, Fotografía",Visuales,Pago,,USD,,,40.0
Convocatoria | Exposición Fotográfica Square,Convocatoria | Exposición Fotográfica Square,EEUU,Decode Gallery,"Dirigido a fotógrafos de cualquier nacionalidad. Requiere un pago de $40 USD por entrada (hasta 10 imágenes). Disciplina: fotografía en formato cuadrado (1:1) en cualquier género. Abierto a participantes de todo el mundo, incluyendo artistas de Latinoamérica.",https://decodegallery.com/square-call-for-entry,Convocatoria,"Visuales, Fotografía",Visuales,Pago,40.0,USD,,,40.0
Convocatoria |  Salón de Artes Visuales de La Pampa. Sección Grabado 2025,Convocatoria |  Salón de Artes Visuales de La Pampa. Sección Grabado 2025,Argentina,"Museo Provincial de Artes (MPArtes), Secretaría de Cultura de La Pampa","Dirigido a artistas visuales argentinos y extranjeros con al menos dos años de residencia en Argentina, mayores de 18 años. Los artistas podrán participar con sólo una (1) obra. La temática será libre. Disciplina: grabado en relieve, grabado planográfico, grabado en hueco, y técnicas gráficas experimentales (técnicas mixtas, objetos gráficos, libros de artista con tiraje, gráficos digitales). Un primer premio de $1.200.000, un segundo premio de $1.100.000 y un premio especial a la mejor obra de autoría pampeana de $1.200.000. ",https://apn.lapampa.gob.ar/nota/detalle/id/27055/Abre-la-convocatoria-para-el-Saln-de-Grabado-2025,Convocatoria,"Visuales, Grabado",Visuales,Sin cargo,5500000.00,ARS,4569.71,,
Convocatoria | Secret Garden Online Art Competition 2025,Convocatoria | Secret Garden Online Art Competition 2025,Virtual,Ten Moir Gallery,Dirigido a artistas y fotógrafos de todo el mundo mayores de 18 años. Requiere un pago de $12 por obra presentada. Disciplinas: artes visuales en formatos 2D y 3D inspirados en flora y fauna. Abierto a artistas de Latinoamérica.,https://tenmoirgallery.com/secret-garden-2025-online-art-competition/,Convocatoria,"Visuales, Pintura, Fotografía, Dibujo",Visuales,Pago,,USD,150.00,,12.0
Premio | Concurso Aprendiendo a descubrir. El mejor legado de Sarmiento,Premio | Concurso Aprendiendo a descubrir. El mejor legado de Sarmiento,Argentina,Casa Natal de Sarmiento – Museo y Biblioteca,"Dirigido a personas mayores de 18 años sin restricciones de nacionalidad. Se invita a todos los interesados a capturar, a través del lente, el impacto y la trascendencia del legado de Domingo Faustino Sarmiento en la sociedad argentina. No requiere pago. Disciplina: fotografía. Abierto a participantes de todo el mundo.",https://casanatalsarmiento.cultura.gob.ar/noticia/bases-y-condiciones-concurso-aprendiendo-a-descubrir-el-legado-de-sarmiento/,Premio,"Visuales, Fotografía",Visuales,Sin cargo,600000,ARS,498.51,300000.0,
Convocatoria | Exposición Fotográfica Black and White,Convocatoria | Exposición Fotográfica Black and White,EEUU,"Decode Gallery de Tucson, Arizona","Dirigido a fotógrafos internacionales interesados en el blanco y negro. Requiere pago de inscripción. Disciplina: fotografía. Abierto a artistas de todo el mundo, incluida Latinoamérica.",https://decodegallery.com/bw,Convocatoria,"Visuales, Fotografía",Visuales,Pago,,USD,,,40.0
Convocatoria | True Blue Online Art Competition 2025,Convocatoria | True Blue Online Art Competition 2025,Virtual,Ten Moir Gallery,Dirigido a artistas y fotógrafos mayores de 18 años de todo el mundo. Requiere un pago de $12 por cada obra enviada. Disciplinas: artes visuales en formatos 2D y 3D.  Tema relacionado con el Azul y las múltiples tonalidades de azul. Abierto para artistas de Latinoamérica.,https://tenmoirgallery.com/true-blue-2025-online-art-competition/,Convocatoria,"Visuales, Fotografía, Pintura, Dibujo",Visuales,Pago,,USD,150.0,,12.0
Convocatoria | FUTURA 5: herramientas para una cultura en movimiento,Convocatoria | FUTURA 5: herramientas para una cultura en movimiento,Argentina,CCEBA - Fundación Williams,"Dirigido a gestores y creadores culturales de toda Argentina. Disciplinas: gestión cultural y enfoques interdisciplinarios en cultura, educación, salud, ambiente, tecnología, entre otros. Consta de tres etapas, la primera de formación a cargo de referentes del sector cultural y posteriormente, la etapa de acompañamiento profesional en el desarrollo e implementación de proyectos.",https://www.cceba.org.ar/formacion/futura-5-herramientas-para-una-cultura-en-movimiento,Convocatoria,"Otras, Gestión Cultural, Organizaciones Culturales, Creadores",Otras,Sin cargo,,ARS,,,
Convocatoria | Exploración visual y sonora. El proceso creativo de The Rhythm of the Ocean,Convocatoria | Exploración visual y sonora. El proceso creativo de The Rhythm of the Ocean,Argentina,CCEBA MediaLAB,"Convocatoria para inscribirse en el Seminario ONLINE a cargo de Desilence (Tatiana Halbach y Søren Christensen) que se llevará a cabo el 28 y 30 de abril 2025 de 15 a 17h (Argentina) 20 a 22h (España). Dirigido a artistas visuales, músicos, diseñadores, creativos y cualquier persona interesada en la fusión entre arte, tecnología y sonido.",https://www.cceba.org.ar/medialab/exploracion-visual-y-sonora,Convocatoria,"Música, Visuales, Diseño, Arte Sonoro, Tecnología, Audiovisual",Música,Sin cargo,,ARS,,,
Convocatoria | 27 Mecal Festival Internacional de Cortometrajes y Animación de Barcelona,Convocatoria | 27 Mecal Festival Internacional de Cortometrajes y Animación de Barcelona,España,MECAL PRO. Festival Internacional de Cortometrajes y Animación de Barcelona,"Se convoca a cineastas de todo el mundo —incluyendo estudiantes y jóvenes talentos— a presentar obras audiovisuales de hasta 30 minutos realizadas a partir de enero de 2023. La convocatoria, de temática libre, incluye secciones competitivas de Ficción, Animación, Oblicua y Documental, y contempla numerosos premios otorgados por jurados especializados y el público.",http://www.mecalbcn.org/,Convocatoria,"Cine, Cortometraje, Animación",Cine,Pago,,EUR,,1080.0,10.8
Convocatoria | Festival Internacional de Cine de Valdivia,Convocatoria | Festival Internacional de Cine de Valdivia,Chile,Festival Internacional de Cine de Valdivia,"Dirigido a cineastas de todo el mundo. Requiere pago de inscripción. Disciplina: cine. Abierto a artistas de América Latina. El Festival Internacional de Cine de Valdivia exhibe cine chileno e internacional en cinco categorías competitivas: Largometraje, Largometraje Juvenil, Cortometraje de Latinoamérica y el Caribe, Cortometraje Infantil de Latinoamérica y el Caribe, y Cortometraje Chileno de Estudiantes de Cine y Audiovisual. El certamen tendrá lugar en la ciudad de Valdivia entre el 13 y el 19 de octubre de 2025.",https://festhome.com/festival/616,Convocatoria,Cine,Cine,Pago,,CLP,,,0.0
Convocatoria | Bengaluru International Short Film Festival,Convocatoria | Bengaluru International Short Film Festival,India,Bengaluru International Short Film Festival,"Dirigido a cineastas que presenten cortometrajes de ficción, documental y experimental. Requiere pago para ser considerado. Disciplinas: cine. Abierto a artistas de América Latina y el Caribe.",https://bisff.in,Convocatoria,"Cine, Cortometrajes",Cine,Pago,,,,,0.0
Convocatoria | CineBH - Belo Horizonte International Film Festival ,Convocatoria | CineBH - Belo Horizonte International Film Festival ,Brasil,Cine BH,"Dirigido a cineastas y productores de cine. Requiere pago. Disciplina: cine. Abierto a artistas de todo el mundo, incluyendo Latinoamérica.",https://cinebh.com.br,Convocatoria,Cine,Cine,Pago,,BRL,,200000.0,0.0
Convocatoria | 21° Festival Court Métrange ,Convocatoria | 21° Festival Court Métrange ,Francia,Festival Court Métrange,"Dirigido a cineastas de todo el mundo con cortometrajes Fantásticos, Extraños e Inusuales. El Festival tiene como objetivo promover y popularizar la creación de cortometrajes de ficción y freak 'n fantastic. Requiere pago para la inscripción. Disciplina: cine. Abierto a participantes de América Latina.",https://courtmetrange.eu/en/,Convocatoria,"Cine, Cortometraje",Cine,Pago,,EUR,,,3.456
Convocatoria | LA Shorts International Film Festival,Convocatoria | LA Shorts International Film Festival,EEUU,LA Shorts International Film Festival,"Dirigido a cineastas de cualquier nivel de experiencia. Requiere pago para participar. Disciplina: cine, específicamente cortometrajes. Abierto a participantes de todo el mundo, incluyendo artistas de Latinoamérica.",https://www.lashortsfest.com,Convocatoria,"Cine, Cortometrajes",Cine,Pago,,USD,,4.4,23.0
Residencia | Loop Art Critique & Laura Hyunjhee Kim,Residencia | Loop Art Critique & Laura Hyunjhee Kim,EEUU,Loop Art Critique,"Dirigido a artistas que utilicen herramientas digitales, medios interactivos, vídeo y tecnologías inmersivas, así como medios tradicionales que puedan integrarse en un entorno espacial de Internet. El LAC opera en un espacio virtual, la mayoría de las obras presentadas son digitales. Los artistas seleccionados participarán en un club de crítica de 6 semanas que se reúne 2 veces por semana en el metaverso de Loop.",https://loop.onland.io,Residencia,"Visuales, Arte digital, Nuevos medios, Video, Medios interactivos, Tecnologías Inmersivas",Cine,Sin cargo,,USD,,,
Convocatoria | CICA Contemporary Art Solo Show Series Spring 2026,Convocatoria | CICA Contemporary Art Solo Show Series Spring 2026,Corea del Sur,CICA Museo de Arte Moderno,"Dirigido a artistas de todo el mundo interesados en exposiciones individuales de arte contemporáneo. Requiere pago para participar. Cada artista seleccionado tendrá una exposición individual durante una semana entre enero y junio de 2026 en la galería de unos 44 m2. Las categorías incluyen: Pintura, Fotografía, Escultura e Instalación, Performance, vídeo y arte de nuevos medios. ",https://cicamuseum.com/call-for-artists-contemporary-art-solo-show-series/,Convocatoria,"Visuales, Pintura, Fotografía, Escultura, Instalación, Performance, Video, Nuevos medios",Escénicas,Pago,,,,,
Residencia | LGBTQ+ Visual Artist Residency 2025,Residencia | LGBTQ+ Visual Artist Residency 2025,EEUU,,"Dirigido a artistas visuales LGBTQ+ mayores de 18 años. Requiere pago. Disciplina: artes visuales. Abierto a participantes de todo el mundo, incluyendo artistas de Latinoamérica.",https://velvetparkmedia.com/application2025/,Residencia,Visuales,Visuales,Pago,,USD,,,
Residencia | Travelling Print Residency,Residencia | Travelling Print Residency,Bulgaria,Nopoint Atelier,"una residencia itinerante de impresión combina un viaje por carretera de 7 días, empezando por el sur y siguiendo hacia el norte, y el trabajo artístico con impresión. Dirigido a artistas gráficos y grabadores interesados en explorar técnicas de impresión. Requiere pago. Disciplinas: grabado y diseño gráfico. Abierto a artistas de todo el mundo, incluyendo Latinoamérica.",https://www.nopointatelier.com/2025-travelling-print-residency,Residencia,"Visuales, Grabado, Diseño",Diseño,Pago,,,,,
Residencia | Inhouse Print Residency,Residencia | Inhouse Print Residency,Bulgaria,Nopoint Atelier,"Dirigido a artistas y colectivos interesados en las artes gráficas y la impresión. No requiere pago de inscripción, pero tiene costo de €1,250 por dos semanas. Disciplinas: artes gráficas y técnicas de impresión. Abierto a artistas de todo el mundo, incluyendo Latinoamérica.",https://www.nopointatelier.com/2025-inhouse-print-residency,Residencia,"Visuales, Artes Gráficas, Impresión",Diseño,Pago,1250.0,EUR,1350.0,,
Residencia | 2026 Sound Art + Experimental Music Artists-In-Residence,Residencia | 2026 Sound Art + Experimental Music Artists-In-Residence,EEUU,Bemis Center for Contemporary Arts,"La convocatoria invita a dos artistas que trabajen con sonido, composición, voz y herramientas experimentales, tanto nacionales como internacionales, a participar en un programa de residencia. Durante su estancia, recibirán apoyo económico, técnico y administrativo, además de espacios para ensayar, grabar e interpretar sus obras. Los artistas pueden elegir entre tres periodos de residencia en 2026. Los artistas internacionales podrán recibir el reembolso de gastos calificados. Requiere pago de inscripción de U$D40.-",https://bemis.slideroom.com/#/login/program/82605,Residencia,"Música, Arte Sonoro, Nuevos Medios, Experimental",Música,Pago,,USD,,,
Residencia | Laboratorio de Investigación Queer y Trans: Artista en Residencia,Residencia | Laboratorio de Investigación Queer y Trans: Artista en Residencia,Canadá,"Centro Mark S. Bonham para Estudios sobre la Diversidad Sexual, Universidad de Totonto","La Residencia | Laboratorio de Investigación Queer y Trans: Artista en Residencia está dirigida a artistas interesados en explorar temáticas queer y trans. Requiere pago. Disciplinas: artes visuales, performance y multimedia. Abierto a artistas internacionales, incluidos latinoamericanos.",https://www.artconnect.com/opportunity/60EuSXNIWFRPqLQznoDK9,Residencia,"Multidisciplinar, Fotografía, Escultura, Visuales, Artes mediáticas, Teatro, Poesía, Performance, Arte Sonoro",Escénicas,Sin cargo,Residencia,CAD,,,
Residencia | Programa Artistas en Residencia de Invierno 2026,Residencia | Programa Artistas en Residencia de Invierno 2026,EEUU,McColl Center,"Dirigido a artistas visuales, escritores y cineastas mayores de 18 años. Requiere pago. Los artistas pueden trabajar en dibujo, pintura, escultura, fotografía, cine, video, nuevos medios, palabra escrita o hablada o prácticas interdisciplinarias. Abierto a artistas de todo el mundo, incluyendo América Latina. ",https://mccollcenter.org/programs/residency,Residencia,"Visuales, Literatura, Diseño, ",Diseño,Pago,1600.00,USD,1600.00,,
2025-2026 Sculpture On Loan Program,Convocatoria | Programa de Préstamo de Esculturas 2025-2026,EEUU,Ciudad de Westminster,"Dirigido a escultores de cualquier nivel. No requiere pago. Disciplina: escultura. Abierto a artistas de todo el mundo, incluyendo Latinoamérica.",https://artist.callforentry.org/festivals_unique_info.php?ID=15070,Convocatoria,"Visuales, Escultura",Visuales,Sin cargo,,USD,,,
Convocatoria | Exposición Online The Assembled Image,Convocatoria | Exposición Online The Assembled Image,EEUU,The Chateau Gallery,"Dirigido a artistas visuales interesados en la creación a partir de imágenes ensambladas (collage, fotomontaje, medios mixtos, etc.). Requiere pago para participar. Disciplinas: artes visuales y digitales. Está abierto a artistas de todo el mundo, incluyendo Latinoamérica.",https://chateaugallery.com/call-for-entries/the-assembled-image,Convocatoria,"Visuales, Fotografía",Visuales,Pago,,USD,,,
Residencia | Brashnar Artist-In-Residence,Residencia | Brashnar Artist-In-Residence,Macedonia,Brashnar Creative Project,"Dirigido a artistas visuales, literarios, musicales y performativos de todo el mundo. La residencia tiene un costo mensual. Pueden postularse candidatos en los siguientes campos: dibujo, pintura, grabado, técnicas mixtas, nuevos medios, fotografía digital, escultura/instalación, land art, encuadernación, artesanía y diseño, arte textil, performance/videoarte, artes interdisciplinarias, literatura, prácticas socialmente comprometidas e investigación cultural.",https://www.brashnarcreativeproject.org/bair,Residencia," Visuales, Nuevos Medios, Literatura, Investigación",Visuales,Pago,Residencia,,,,
"Premio | Advancement Awards For Art, Science & Ecology 2025/26","Premio | Advancement Awards For Art, Science & Ecology 2025/26",Alemania,Fundación Arthur Boskamp,"Dirigido a artistas que trabajan en la intersección del arte, la ciencia y la ecología. Disciplinas: Artes visuales y proyectos interdisciplinarios. Los solicitantes deben haber nacido o residir en el norte de Alemania (Schleswig-Holstein, Hamburgo, Mecklemburgo-Pomerania Occidental, Bremen o Niedersachsen), o haber obtenido su título universitario en esta región, o haber establecido una conexión con esta región en su trabajo artístico anterior.",https://www.m1-hohenlockstedt.de/en/foerderpreise/forderpreise-202526/,Premio,"Visuales, Ciencia, Ecología",Visuales,Sin cargo,,EUR,,,
Premio | 2025 Art Prize: Magic And Ritual,Premio | 2025 Art Prize: Magic And Ritual,Alemania,Bernd & Gisela Rosenheim-Foundation,Dirigido a artistas residentes en Europa. Temática del concurso es Magia y Ritual. Disciplina: Pintura. El premio en metálico es de 5.000 euros. Del 29 de noviembre de 2025 al 8 de enero de 2026 se realizará una exposición para los artistas premiados y preseleccionados en la galería de la Casa de Historia de la Ciudad de Offenbach am Main.,https://www.rosenheim-kunstpreis.de/?utm_campaign=oldsite,Premio,"Visuales, Pintura",Visuales,Sin cargo,5000.0,EUR,5400.0,,
Fondos | Prodanza,Fondos | Prodanza,Argentina,Ministerio de Cultura del Gobierno de la Ciudad de Buenos Aires,"Dirigida a compañías o grupos con trayectoria, elencos o coreógrafos con proyectos puntuales, salas teatrales no oficiales y asociaciones culturales de la Ciudad Autónoma de Buenos Aires. Las líneas incluyen: Grupos estables, hasta $6.200.000 para estrenos y $2.500.000 para reposiciones o primeros proyectos; Proyectos puntuales, hasta $3.500.000 para estrenos y $2.500.000 para reposiciones o primeras producciones; Salas no oficiales y espacios no convencionales, para gastos de programación, infraestructura y equipamiento, sin tope presupuestario; Asociaciones y entidades culturales: para iniciativas vinculadas a la investigación, formación, trabajo en red, circulación, entre otros, también sin tope presupuestario.",https://buenosaires.gob.ar/cultura/impulso-cultural/como-participo,Fondos,"Escénicas, Danza",Escénicas,Sin cargo,6200000.0,ARS,6820.0,,
Fondos | Proteatro,Fondos | Proteatro,Argentina,Ministerio de Cultura del Gobierno de la Ciudad de Buenos Aires,"Podrán postularse salas teatrales no oficiales para proyectos de mejora, equipamiento o adecuación técnica; grupos eventuales que deseen producir obras con estreno entre enero y junio de 2025, ya sea de forma presencial o virtual; y proyectos especiales de interés para la comunidad teatral, con inicio de actividades en el mismo período y una duración de hasta un año. Los requisitos generales para participar son ser mayor de edad y tener domicilio en CABA, ya sea como persona física o jurídica. Para la línea de Grupos de Teatro Estables, se requiere contar con el Registro definitivo de Proteatro. ",https://buenosaires.gob.ar/proteatro/como-participo,Fondos,"Escénicas, Teatro",Escénicas,Sin cargo,,ARS,,,
Premio |  XLIX Certamen Literario Ciudad de Martos ,Premio |  XLIX Certamen Literario Ciudad de Martos ,España,Ayuntamiento de Martos,"Podrán participar en el certamen todas las personas físicas, mayores de edad, que lo deseen, siempre que sus obras se presenten escritas en castellano. La modalidad obligatoria será un relato, original, inédito y que no haya sido premiado ni publicado (íntegra o parcialmente) en ningún otro certamen ni en formato digital. Los autores elegirán libremente el tema y su correspondiente tratamiento formal. Premio 3000 Euros.",https://martos.es/convocatoria-de-martos-cultural-2025/,Premio,Literatura,Literatura,Sin cargo,13000.00,EUR,0.0,,
